國文,英文,數學,地理,歷史
94,95,83,60,58
89,63,57,55,70
67,94,74,78,85
68,55,59,94,50
64,66,88,61,95
94,63,96,86,82
79,87,79,79,96
61,69,58,58,96
76,57,84,91,97
77,89,63,75,50
95,52,52,67,84
52,54,99,82,63
91,62,95,90,74
100,78,96,51,96
71,90,79,51,72
81,55,77,54,77
67,93,72,93,85
65,52,63,66,65
100,96,76,80,69
76,59,81,59,90
71,52,90,93,95
76,50,100,50,60
69,97,94,65,78
65,73,78,71,98
82,74,62,72,98
59,95,69,96,66
72,63,89,69,82
80,67,85,66,75
86,56,92,57,72
87,62,78,72,71
60,79,84,59,52
93,51,71,61,92
63,99,72,92,77
54,77,94,97,70
66,76,60,57,67
70,54,89,67,88
62,54,80,70,81
56,84,90,55,94
70,71,72,77,79
57,77,68,59,61
94,67,52,60,66
66,94,61,81,90
57,57,91,55,88
80,50,93,56,79
64,51,56,97,67
60,95,84,54,89
71,97,99,58,97
60,64,75,81,76
59,97,76,54,76
54,96,60,74,71
